doi,title,abstract
10.1101/2022.12.19.22283694,USES OF THE SKEW-LOGISTIC FUNCTION FOR MULTI-WAVE FUNCTIONS,"The Skew-Logistic (SL) function has been proposed to model a real-life dynamic process which rises monotonically to a peak followed by a monotonic decline. It was introduced to model the first stage of the Covid-19 pandemic to forecast the behaviour of Covid. Then, with different controls and variants, Covid levels rose and fell in what might be called a Multi-Wave (MW) behaviour; with the waves not necessarily the same size. This paper shows how using the SL function for one wave can be modified to model the MW situation. We apply it to two examples. One is to Covid -19, to examine its most recent behaviour. The other is to climate change, the most serious issue of our time. Ensuring that the world simply achieves carbon-equality is not enough. We have to rapidly achieve carbon-negativity to prevent bringing an end to the world as we know it."
10.1101/2022.12.27.22283972,"Genetic subtypes of prediabetes, healthy lifestyle, and risk of type 2 diabetes: Prospective cohort study","ObjectivesTo cluster participants with prediabetes with five type 2 diabetes (T2D)-related partitioned polygenetic risk scores (pPRSs) and examine the risk of incident diabetes and the benefit of adherence to healthy lifestyle across clusters.

DesignProspective cohort study

SettingHispanic Community Health Study/Study of Latinos (HCHS/SOL), US; UK Biobank (UKBB), UK.

Participants7,227 US Hispanic/Latinos without diabetes from HCHS/SOL, including 3,677 participants with prediabetes. 400,149 non-Hispanic whites without diabetes from UKBB, including 16,284 participants with prediabetes.

Main outcome measuresPrediabetes was defined by fasting plasma glucose (fasting glucose) between 100-125 mg/dL, 2-hour oral glucose tolerance test (OGTT 2h glucose) between 140-199 mg/dL, or hemoglobin A1c (HbA1c) between 5.7% and 6.5%. Diabetes was defined by fasting glucose levels [&ge;]126 mg/dL, 2h glucose after OGTT [&ge;]200 mg/dL, HbA1c [&ge;]6.5%, current use of anti-diabetic medications, or medical record. Five pPRSs representing various pathways related to T2D were calculated based on 94 T2D-related genetic variants. Health lifestyle score was assessed with five modifiable risk factors, including body mass index (BMI), smoking, alcohol drinking, physical activity, and diet for T2D.

ResultsUsing K-means consensus clustering on five pRPSs, six clusters of individuals with prediabetes were identified in HCHS/SOL, with each cluster presenting disparate patterns of pPRSs and different patterns of metabolic traits. Except cluster 3 which was not detected, the other five clusters were conformed in participants with prediabetes in UKBB, with each cluster showing the similar patterns of pPRSs to their corresponding cluster in HCHS/SOL. At baseline, proportion of impaired glucose tolerance (IGT)/impaired fasting glucose (IFG) and glycemic traits in HCHS/SOL (fasting glucose, OGTT 2h glucose, and HbA1c) were not significantly different across six clusters (P=0.13, P=0.62, P=0.35, P=0.96, respectively). In UKBB, random glucose and HbA1c at baseline did not show significant difference across five clusters (P=0.43, P=0.71, respectively). Although baseline glycemic traits were similar across clusters, cluster 6, which featured a very low proinsulin score, exhibited elevated risk of incident T2D in both cohorts (risk ratio [RR]=1.39, 95% confidence interval [95% CI]=[1.10, 1.76] vs. cluster 1 in HCHS/SOL; hazard ratio [HR]=1.29, 95% CI=[1.00, 1.69] vs. cluster 1 in UKBB; Combined RR/HR=1.34 [1.13, 1.60]). To explain the elevated risk of incident T2D in cluster 6, interactions between proinsulin score and other three pPRSs (Beta-cell score, Lipodystrophy-like score, Liver-lipid score) and sum score were detected (P for interaction=0.001, 0.04, 0.02 and 0.002, respectively). Cluster 5 showed an increased risk of incident T2D in UKBB (HR=1.35 [1.05, 1.75] vs. cluster 1) and in the combined analysis with HCHS/SOL (RR/HR=1.29 [1.08, 1.53]), although its risk of T2D was not significantly different from cluster 1 in HCHS/SOL (RR=1.23 [0.96, 1.57]). Inverse associations between the lifestyle score and risk of T2D were observed across different clusters, with a suggestively stronger association in Cluster 5 compared to Cluster 1, in both cohorts. Cluster 5 showed reduced risk of incident diabetes caused by healthy lifestyle score (RR=0.65 [0.47, 0.89], HR=0.71 [0.62, 0.81], respectively. Combined RR/HR=0.70 [0.62, 0.79]). Among individuals with a healthy lifestyle, those in Cluster 5 had a similar risk of T2D compared to those in Cluster 1 (combined RR/HR=1.03 [0.91-1.18], P>0.05).

ConclusionsThis study identified genetic subtypes of prediabetes which differed in risk of progression to T2D, with two subtypes showing relatively high risk of T2D over time. Favorable relationship between healthy lifestyle and risk of T2D was observed, regardless of their genetic subtypes. Participants in one subtype with higher risk of T2D may realize extra benefits in terms of risk reduction from a healthy lifestyle."
10.1101/2023.01.04.23284196,Tuberculosis Mortalities Among In-patients at a Tertiary Hospital in Zambia Between2018 and 2019 - The Spectrum of Clinical Presentations,"Tuberculosis (TB) has remained one of the most important public health diseases and a leading cause of mortality from a single infectious agent in the world. In-patient mortalities have remained relatively high despite massive investment towards TB elimination. This prompted us to undertake a TB mortality review aimed at understanding the spectrum of clinical presentations in TB mortalities among in-patients in a local hospital set up in Zambia.

Files of 74 in-patient TB related mortalities that had occurred at Kitwe Teaching Hospital over a 12-month period between June 2018 and June 2019 were audited using a structured questionnaire. The descriptive data was analyzed using SPSS v 16.0 statistical software and Microsoft excel 2016.

The audit revealed that 50 (67.6%) of the files were for male patients with a mean age of 39.2 {+/-} 11.6 years. 60(80%) were HIV positive, 60(80%) resided in high-density residential areas. On presentation to hospital, the commonest symptoms included productive cough and fever [31(41.9%) and 30(40.5%) respectively]. HIV positive male patients were presenting in hyperdynamic state (mean pulse rate of 117.2 {+/-} 32.4 per min). Other findings included signs of multi-organ involvement [hypoalbuminemia 9(12.2%), deranged renal function 8(10.8%) and deranged liver enzymes 9(12.2%)] before mortality occurred.

The spectrum of clinical presentations among in-patients with TB in a tertiary hospital include the following; male gender, age younger than 50 years, being HIV positive, residing in a high-density residential area and presenting with unstable hemodynamics. There is a need to focus strategies targeted at strengthening early recognition of clinical instability among admitted TB patients for at-risk populations, including young to middle aged males who are HIV positive."
10.1101/2023.01.04.23284186,The immediate treatment outcomes and cost estimate for managing clinical measles in children admitted at Mulago Hospital: a retrospective cohort study.,"BackgroundOver the recent years, the Ministry of Health in Uganda has reported multiple measles outbreaks in various districts despite the availability of a safe cost effective vaccine. Measles, especially among the unvaccinated, can lead to serious complications including death, while its management heavily burdens the family and health care delivery system. Whereas the cost of measles vaccination is known, the cost of treating measles is unknown. Knowledge of this can inform policy and planning for healthcare services.

MethodA retrospective single cohort study using records review was conducted to determine the immediate treatment outcomes and estimate the health care delivery cost of managing measles among children 0-12 years admitted at Mulago hospital throughout 2018. Demographics, complications, vaccination status, discharge status, duration of hospital stay, type of treatment, supplies used and investigations done were abstracted from the patient charts. The costs of treatment were obtained from the hospital pharmacy price list while the unit cost of utilities, human resource, food and security were obtained from the hospital accounts department. Patients characteristics were summarized descriptively. For all cost information, we reported the mean with standard deviation (SD) and range, and costs information was stratified and presented as direct health care (blood test, radiology and treatment) and direct non health care.

ResultsOut of 536 patient charts, 267 were chosen, 51% were for females and the median age was 1.0 (IQR 0.75-2) years. Sixty-three patients (24%) were immunised, 79 (29%) were not immunized, 56 (21%) were not due for immunisation at the time of hospitalisation while the status of 69 (26%) was not recorded. Median length of hospital stay was 4.0 days (IQR 3.0-7.0) with majority (n=207, 77%) staying < 7 days. There were 30 deaths (11%) with mortality highest among the unimmunised (n= 13, 44%) and severe pneumonia (39.5%) was the commonest complication.

The average cost estimate to the health care delivery system to treat a child with measles was (114.5 USD). Human resource (79.33USD, SD 4.63) and treatment costs (21.98USD, SD 22.77) were the largest expenses.

ConclusionsMortality among children with measles was high and occurrence of complications common. The estimated average direct health care cost of treating a measles case in the National Referral Hospital was considerably high. Further research is required to estimate the cost to the family and society in managing a child with measles."
10.1101/2023.01.04.23284178,Biological diagnosis and characterization of occult hepatitis B virus infection in Burkina Faso.,"Introduction/objectiveThe occult infection by the hepatitis B virus (OBI) characterized by the undetectable (HBs Ag) negative antigen in the serum and the presence of viral DNA, constitutes a major public health problem and a major challenge for clinical forms of hepatitis worldwide. The persistence of OBI very often leads to hepatocellular carcinoma (HCC) and immunodeficiency. The aim of this study was to estimate the prevalence of OBI and to characterize the incriminated genotypes of the virus.

Material and methodThe plasmas of 252 HBsAg-negative volunteers were used for highlighting the viral DNA by PCR classic. PCR Multiplex using specific primers of 6 genotypes (A to F) was used for characterization.

ResultsA prevalence of 11.9% (30/252) of OBI was obtained with 7.5% in women and 4.4% for men. Genotypes E (60.0%) and A3 (23.3%) were present and genotypes B, C, D, and F were absent. A mixed infection with E/A3 genotypes (16.7%) was observed. AC Anti-HBc was present in 80% of cases OBI.

Discussion/ConclusionThe prevalence of 11.9% of OBI could be related to the level of endemicity of the study area, Burkina Faso being a country with a prevalence of more than 14% of HBV infection. These infections are dominated by the A3 and E genotypes, confirming their importance in chronic HBV infections. The absence of genotypes B and C in cases of OBI constitutes a positive predictive value since their presence is linked to a more rapid evolution of the infection towards HCC."
10.1101/2023.01.04.23284191,"Behavior-change interventions to improve antimicrobial stewardship in human health, animal health, and livestock agriculture: A systematic review","Antimicrobial resistance (AMR) is an economic, food security, and global health threat that is driven by a multitude of factors including the overuse and misuse of antimicrobials in the human health, animal health, and agriculture sectors. Given the rapid emergence and spread of AMR and the relative lack of development of new antimicrobials or alternative therapies, there is a need to develop and implement non-pharmaceutical AMR mitigation policies and interventions that improve antimicrobial stewardship (AMS) practices across all sectors where antimicrobials are used. We conducted a systematic literature review per the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines to identify peer-reviewed studies that described behavior-change interventions that aimed to improve AMS and/or reduce inappropriate antimicrobial use in the human health, animal health, and livestock agriculture stakeholders. We identified 301 total publications - 11 in the animal health sector and 290 in the human health sector - and assessed these interventions using metrics across five thematic areas- (1) antimicrobial use (AMU), (2) adherence to clinical guidelines, (3) AMS, (4) AMR, and (5) clinical outcomes. The lack of studies in the animal health sector precluded a meta-analysis. Among studies in the human health sector, 35.7% reported significant (p<0.05) pre- to post-intervention decreases in AMU, 73.7% reported significant improvements in adherence of antimicrobial therapies to clinical guidelines, 45% demonstrated significant improvements in AMS practices, 45.5% reported significant decreases in the proportion of isolates that were resistant to antibiotics or the proportion of patients with drug-resistant infections across 17 antimicrobial-organism combinations, and few studies reported statistically significant changes in clinical outcomes. We did not identify any overarching intervention type nor characteristics associated with successful improvement in AMS, AMR, AMU, adherence, nor clinical outcomes."
10.1101/2023.01.03.22284042,SARS-CoV-2 Reinfection is Preceded by Unique Biomarkers and Related to Initial Infection Timing and Severity: an N3C RECOVER EHR-Based Cohort Study,"Although the COVID-19 pandemic has persisted for over 2 years, reinfections with SARS-CoV-2 are not well understood. We use the electronic health record (EHR)-based study cohort from the National COVID Cohort Collaborative (N3C) as part of the NIH Researching COVID to Enhance Recovery (RECOVER) Initiative to characterize reinfection, understand development of Long COVID after reinfection, and compare severity of reinfection with initial infection. We validate previous findings of reinfection incidence (5.9%), the occurrence of most reinfections during the Omicron epoch, and evidence of multiple reinfections. We present novel findings that Long COVID diagnoses occur closer to the index date for infection or reinfection in the Omicron BA epoch. We report lower albumin levels leading up to reinfection and a statistically significant association of severity between first infection and reinfection (chi-squared value: 9446.2, p-value: 0) with a medium effect size (Cramers V: 0.18, DoF = 4)."
10.1101/2023.01.04.23284159,OH-EpiCap: a semi-quantitative tool for the evaluation of One Health epidemiological surveillance capacities and capabilities,"Although international health agencies encourage the development of One Health (OH) surveillance, many systems remain mostly compartmentalized, with limited collaborations among sectors and disciplines. In the framework of the OH European Joint Programme ""MATRIX"" project, a generic evaluation tool called OH-EpiCap has been developed to enable individual institutes/governments to characterize, assess and monitor their own OH epidemiological surveillance capacities and capabilities. The tool is organized around three dimensions: organization, operational activities, and impact of the OH surveillance system; each dimension is then divided into four targets, each including four indicators. A semi-quantitative questionnaire enables the scoring of each indicator, with four levels according to the degree of satisfaction in the studied OH surveillance system. The evaluation is conducted by a panel of surveillance representatives (during a half-day workshop or with a back-and-forth process to reach a consensus). An R Shiny-based web application facilitates implementation of the evaluation and visualization of the results, and includes a benchmarking option. The tool was piloted on several foodborne hazards (i.e. Salmonella, Campylobacter, Listeria), emerging threats (e.g. antimicrobial resistance) and other zoonotic hazards (psittacosis) in multiple European countries in 2022. These case studies showed that the OH-EpiCap tool supports the tracing of strengths and weaknesses in epidemiological capacities and the identification of concrete and direct actions to improve collaborative activities at all steps of surveillance. It appears complementary to the existing EU-LabCap tool, designed to assess the capacity and capability of European microbiology laboratories. In addition, it provides opportunity to reinforce trust between surveillance stakeholders from across the system and to build a good foundation for a professional network for further collaboration."
10.1101/2023.01.04.23284174,Ethnic differences in the indirect impacts of the COVID-19 pandemic on clinical monitoring and hospitalisations for non-COVID conditions in England: An observational cohort study using OpenSAFELY,
10.1101/2022.12.31.22284047,Transitions across Kidney Disease Stages and Association with New-onset Heart Failure: a Population-Based study of 8569 Individuals and 12.6 Years of Follow-up,"BackgroundLimited data exist on transitions across Kidney Disease Improving Global Outcomes (KDIGO) risk stages and association with new-onset heart failure (HF) in the general population.

MethodsData were extacted from the first four clinical examinations of the PREVEND study. Participants were categorized into eGFR and albuminuria risk stages according to KDIGO Guideline. Multi-state model was fitted to estimate the transition rates across consecutive KDIGO risk stages and the association with new-onset HF.

Results8569 participants were included at baseline. During a median follow-up of 12.6 years, 373 participants were diagnosed with new-onset HF and 710 participants had died before new-onset HF. The transition rate from low risk to intermediate risk stage did not differ between women and men; it increased from 0 to 10 transitions per 100 person-years from age 50 to 75 years. The transition rate from intermediate risk to high or very high risk stage increased exponentially with age, with women having lower rates (HR: 0.50, 95%CI: 0.34-0.76). Younger subjects and women were more likely to make a backward transition from intermediate risk to low risk stage. More advanced KDIGO risk stages were associated with increased risk of new-onset HF, and the risk association attenuates with age on the relative scale but strengthens with age on the absolute scale.

ConclusionsSlowing the progression of KDIGO risk stages may result in an important reduction in the incidence of new-onset heart failure in this population of middle-aged subjects."
